Constituency,Type,State,Party,Turnout,Gender,PrevParty,GSDP,Candidate,Criminal.Case,Education,Total.Assets,Liabilities,CandidateAge,GrowthRateAgri
Anand,GEN,Gujarat,INC,51.70%,M,BJP,12.5,SOLANKI BHARATSINH MADHAVSINH,0,Graduate Professional,996308,0,50,39.89
Anantapur,GEN,Andhra Pradesh,INC,68.20%,M,Telugu Desam,6.29,ANANTHA VENKATA RAMI REDDY,0,Post Graduate,3890000,437636,47,15.14
Anantnag,GEN,Jammu & Kashmir,Jammu & Kashmir Peoples Democratic Party,14.70%,F,Jammu & Kashmir National Conference,4.29,MEHBOOBA MUFTI,0,Graduate Professional,450000,0,42,8.88
Andaman & Nicobar Islands,GEN,Andaman & Nicobar Islands,INC,63.70%,M,BJP,49.2,MANORANJAN BHAKTA,0,Post Graduate,5926740,272061,,-19.83
Aonla,GEN,Uttar Pradesh ,Janata Dal (United),46.80%,M,Samajwadi Party,5,KUNWAR SARVRAJ SINGH,1,Graduate Professional,14281673,0,49,3.85
Arakkonam,GEN,Tamil Nadu,Pattali Makkal Katchi,66.70%,M,Dravida Munetra Kazhagam,8.84,"VELU, R.",0,Post Graduate,4610868,97947,63,-2.42
Arambagh,GEN,West Bengal,Communist Party Of India (MARXIST),80.90%,M,Communist Party Of India (MARXIST),2.66,Anil Basu,0,Literate,1042327,0,59,3.56
Araria,SC,Bihar ,BJP,55.10%,M,Rashtriya Janata Dal,-6.57,SUKDEO PASWAN,1,10th Pass,5934736,571481,51,-16.27
Arrah,GEN,Bihar ,Rashtriya Janata Dal,57.90%,F,Rashtriya Janata Dal,-6.57,KANTI SINGH,0,Graduate,11602840,33797,47,-16.27
Arunachal East,GEN,Arunachal Pradesh,BJP,56.20%,M,INC,84.81,TAPIR GAO,0,Post Graduate,5516640,50000,42,3.69
Arunachal West,GEN,Arunachal Pradesh,BJP,55.90%,M,INC,84.81,KHIREN RIJIJU,0,Graduate,6511344,0,32,3.69
Asansol,GEN,West Bengal,Communist Party Of India (MARXIST),66.40%,M,Communist Party Of India (MARXIST),2.66,Bikash Chowdhury,0,Others,2912206,0,69,3.56
Asansol,GEN,West Bengal,CPI(M),60%,M,Communist Party Of India (MARXIST),3.66,Bansagopal Choudhury,0,Others,,,,3.56
Aska,GEN,Orissa,Biju Janata Dal,54.40%,M,Biju Janata Dal,21.93,HARI HAR SWAIN,0,12th Pass,12192000,1586478,69,22.81
Aurangabad,GEN,Bihar ,INC,54.70%,M,Shiv Sena,-6.57,NIKHIL KUMAR,0,Post Graduate,74489984,1220000,63,-16.27
Aurangabad,GEN,Maharashtra,Shiv Sena,55.70%,M,INC,10.7,CHANDRAKANT KHAIRE,13,Graduate,9333773,6043722,52,10.43
Autonomous District,ST,Assam,INC,69.30%,M,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),9.51,BIREN SINGH ENGTI,0,Post Graduate,5389194,0,62,1.51
Azamgarh,GEN,Uttar Pradesh ,BSP,41.50%,M,Samajwadi Party,5,Akbar Ahamad Dampi,,Others,,,,3.85
Azamgarh,GEN,Uttar Pradesh ,Bahujan Samaj Party,49.90%,M,Samajwadi Party,5,RAMAKANT YADAV,9,10th Pass,17358777,2.00E+05,43,3.85
Badagara,GEN,Kerala,Communist Party Of India (MARXIST),75.60%,F,Communist Party Of India (MARXIST),5.57,P. SATHEEDEVI,1,Graduate Professional,1331000,0,47,-1.39
Bagaha,SC,Bihar ,Janata Dal (United),49.20%,M,Janata Dal (United),-6.57,KAILASH BAITHA,0,10th Pass,49000,35000,Unknown,-16.27
Bagalkot,GEN,Karnataka,BJP,65.40%,M,INC,3.22,GADDIGOUDAR PARVATAGOUDA CHANDANAGOUDA,0,Graduate Professional,5375000,1.00E+06,52,-12.81
Baghpat,GEN,Uttar Pradesh ,Rashtriya Lok Dal,41.80%,M,Rashtriya Lok Dal,5,AJIT SINGH,0,Post Graduate,13423683,1456567,65,3.85
Bahraich,GEN,Uttar Pradesh ,Samajwadi Party,38.60%,F,BJP,5,RUBAB SAYEDA,0,Post Graduate,15346459,0,54,3.85
Balaghat,GEN,Madhya Pradesh ,BJP,60.90%,M,BJP,-2.8,GAURI SHANKAR CHATURBHUJ BISEN,0,Post Graduate,9667350,1491190,52,36.75
Balasore,GEN,Orissa,BJP,71.30%,M,BJP,21.93,MAHAMEGHA BAHAN AIRA KHARBELA SWAIN,0,Post Graduate,1010000,0,51,22.81
Balia,GEN,Bihar ,Lok Jan Shakti Party,53.50%,M,Janata Dal (United),-6.57,SURAJ SINGH,17,Literate,1516070,60024,38,-16.27
Ballia,GEN,Uttar Pradesh ,Samajwadi Janata Party (RASHTRIYA),43.30%,M,Samajwadi Janata Party (RASHTRIYA),5,CHANDRA SHEKHAR,0,Post Graduate,4035983,1145552,76,3.85
Ballia,GEN,Uttar Pradesh ,SP,35.60%,M,Samajwadi Janata Party (RASHTRIYA),5,Neeraj Shekhar,0,Others,,,,3.85
Balrampur,GEN,Uttar Pradesh ,BJP,53.10%,M,Samajwadi Party,5,BRIJ BHUSHAN SHARAN SINGH,2,Graduate Professional,35810577,0,47,3.85
Balurghat,SC,West Bengal,Revolutionary Socialist Party,81.50%,M,Revolutionary Socialist Party,2.66,Ranen Barman,0,10th Pass,968333,0,35,3.56
Banaskantha,GEN,Gujarat,INC,49.00%,M,BJP,12.5,CHAVDA HARISINHAJI PRATAPSINHAJI,1,10th Pass,17693895,0,73,39.89
Banda,GEN,Uttar Pradesh ,Samajwadi Party,41.00%,M,Bahujan Samaj Party,5,SHYAMA CHARAN GUPT,0,Graduate Professional,112456867,0,57,3.85
Bangalore North,GEN,Karnataka,BJP,54.20%,M,INC,3.22,DR. H.T. SANGLIANA,0,Graduate,7666050,0,61,-12.81
Bangalore South,GEN,Karnataka,BJP,49.40%,M,BJP,3.22,,,Others,,,,-12.81
Banka,GEN,Bihar ,Rashtriya Janata Dal,58.80%,M,Janata Dal (United),-6.57,GIRIDHARI YADAV,0,Post Graduate,2841000,351513,40,-16.27
Bankura,GEN,West Bengal,Communist Party Of India (MARXIST),67.80%,M,Communist Party Of India (MARXIST),2.66,Acharia Basudeb,0,Post Graduate,1708375,0,62,3.56
Bansgaon,SC,Uttar Pradesh ,INC,43.90%,M,BJP,5,MAHAVEER PRASAD,0,Post Graduate,8944794,0,60,3.85
Banswara,ST,Rajasthan,BJP,48.40%,M,INC,2.12,DHAN SINGH RAWAT,2,Graduate Professional,1905788,250000,37,81.37
Bapatla,GEN,Andhra Pradesh,INC,77.30%,F,Telugu Desam,6.29,DAGGUBATI PURANDARESWARI,0,Others,40907640,5212201,44,15.14
Bara Banki,SC,Uttar Pradesh ,Bahujan Samaj Party,44.50%,M,Samajwadi Party,5,KAMLA PRASAD,0,Graduate,4699000,5.00E+05,41,3.85
Baramati,GEN,Maharashtra,Nationalist Congress Party,48.30%,M,Nationalist Congress Party,10.7,PAWAR SHARADCHANDRA GOVINDRAO,1,10th Pass,44814206,13301,63,10.43
Baramulla,GEN,Jammu & Kashmir,Jammu & Kashmir National Conference,35.50%,M,Jammu & Kashmir National Conference,4.29,ABDUL RASHID SHAHEEN,0,Post Graduate,17174843,1056615,54,8.88
Barasat,GEN,West Bengal,All India Forward Bloc,82.80%,M,All India Trinamool Congress,2.66,Subrata Bose,0,Graduate,2386568,35700,,3.56
Bareilly,GEN,Uttar Pradesh ,BJP,52.90%,M,BJP,5,SANTOSH GANGWAR,0,Post Graduate,7043413,250154,54,3.85
Barh,GEN,Bihar ,Rashtriya Janata Dal,69.50%,M,Janata Dal (United),-6.57,VIJAY KRISHNA,1,Post Graduate,5832524,27725,53,-16.27
Barmer,GEN,Rajasthan,BJP,63.90%,M,INC,2.12,MANVENDRA SINGH,0,Post Graduate,4656839,73531,,81.37
Baroda,GEN,Gujarat,BJP,39.40%,F,BJP,12.5,,,Others,,,,39.89
Barpeta,GEN,Assam,INC,70.90%,M,INC,9.51,A. F. GOLAM OSMANI,0,Graduate Professional,1005000,0,73,1.51
Barrackpore,GEN,West Bengal,Communist Party Of India (MARXIST),80.80%,M,Communist Party Of India (MARXIST),2.66,Tarit Baran Topdar,0,Post Graduate,9453015,0,,3.56
Basirhat,GEN,West Bengal,Communist Party Of India,81.80%,M,Communist Party Of India,2.66,Ajay Chakraborty,0,Graduate Professional,7218672,0,60,3.56
Bastar,ST,Chhattisgarh,BJP,43.30%,M,BJP,18.79,BALIRAM KASHYAP,1,8th Pass,1865382,177442,67,43.14
Basti,SC,Uttar Pradesh ,Bahujan Samaj Party,40.70%,M,BJP,5,LAL MANI PRASAD,0,Graduate,1071480,0,52,3.85
Bayana,SC,Rajasthan,BJP,40.90%,M,BJP,2.12,RAMSWAROOP KOLI,3,8th Pass,1053100,0,,81.37
Beed,GEN,Maharashtra,Nationalist Congress Party,66.90%,M,BJP,10.7,,,Others,,,,10.43
Begusarai,GEN,Bihar ,Janata Dal (United),53.00%,M,INC,-6.57,RAJIV RANJAN SINGH,0,Graduate,6746462,0,49,-16.27
Belgaum,GEN,Karnataka,BJP,65.90%,M,INC,3.22,ANGADI SURESH CHANABASAPPA,0,Graduate Professional,47466695,8852490,48,-12.81
Bellary,GEN,Karnataka,BJP,66.70%,M,INC,3.22,G. KARUNAKARA REDDY,0,Graduate,10930950,416228,41,-12.81
Berhampore,GEN,West Bengal,INC,80.90%,M,INC,2.66,Adhir Ranjan Chowdhury,3,10th Pass,19395174,0,48,3.56
Berhampur,GEN,Orissa,INC,60.20%,M,BJP,21.93,CHANDRA SEKHAR SAHU,0,Graduate Professional,1419000,0,54,22.81
Bettiah,GEN,Bihar ,Rashtriya Janata Dal,44.60%,M,BJP,-6.57,RAGHUNATH JHA,2,12th Pass,11267189,0,66,-16.27
Betul,GEN,Madhya Pradesh ,BJP,48.70%,M,BJP,-2.8,KHANDELWAL VIJAY KUMAR (MUNNI BHAIA),0,Graduate Professional,16507774,953983,68,36.75
Betul,GEN,Madhya Pradesh ,BJP,60.10%,M,BJp,-2.8,Khandelwal Hemant Vijay Kumar,,Others,,,,36.75
Bhadrachalam,ST,Andhra Pradesh,Communist Party Of India (MARXIST),69.00%,M,Telugu Desam,6.29,MIDIYAM BABU RAO,0,Graduate Professional,542000,130000,52,15.14
Bhadrak,SC,Orissa,Biju Janata Dal,69.00%,M,Biju Janata Dal,21.93,,,Others,,,,22.81
Bhagalpur,GEN,Bihar ,BJP,54.60%,M,Communist Party Of India (MARXIST),-6.57,SUSHIL KUMAR MODI,3,Post Graduate,3410312,935401,51,-16.27
Bhagalpur,GEN,Bihar ,BJP,35.10%,M,Communist Party Of India (MARXIST),-6.57,Syed Shahnawaz Husain,,Others,,,,-16.27
Bhandara,GEN,Maharashtra,BJP,67.60%,M,BJP,10.7,PATLE SHISHUPAL NATTHU,0,Graduate Professional,1184050,12000,36,10.43
Bharatpur,GEN,Rajasthan,BJP,48.40%,M,BJP,2.12,VISHVENDRA SINGH,0,12th Pass,87894237,525000,41,81.37
Bhatinda,SC,Punjab,Shiromani Akali Dal,59.40%,F,Communist Party Of India,4.08,PARAMJIT KAUR GULSHAN,0,Post Graduate,6507661,0,56,5.76
Bhavnagar,GEN,Gujarat,BJP,36.00%,M,BJP,12.5,RANA RAJENDRASINH GHANASHYAMSINH (RAJUBHAI RANA),0,Graduate Professional,2350613,0,,39.89
Bhilwara,GEN,Rajasthan,BJP,50.20%,M,BJP,2.12,VIJAYENDRAPAL SINGH,0,Graduate,23765671,250000,55,81.37
Bhind,GEN,Madhya Pradesh ,BJP,43.70%,M,BJP,-2.8,DR. RAMLAKHAN SINGH,1,Graduate Professional,5774939,284945,52,36.75
Bhiwani,GEN,Haryana,INC,73.00%,M,Indian National Lok Dal,9.42,KULDEEP BISHNOI,0,Graduate,143724090,21865304,35,7.73
Bhopal,GEN,Madhya Pradesh ,BJP,46.40%,M,BJP,-2.8,KAILASH JOSHI,0,10th Pass,2695080,0,73,36.75
Bhubaneswar,GEN,Orissa,Biju Janata Dal,57.20%,M,Biju Janata Dal,21.93,PRASANNA KUMAR PATASANI,0,Post Graduate,4441581,0,56,22.81
Bidar,SC,Karnataka,BJP,59.40%,M,BJP,3.22,RAMCHANDRA VEERAPPA,0,Literate,2480708,816000,94,-12.81
Bidar,GEN,Karnataka,INC,NA,M,BJP,3.22,Narsing Halla Suryawanshi,0,Others,,,,-12.81
Bijapur,GEN,Karnataka,BJP,59.40%,M,BJP,3.22,BASANAGOUDA R PATIL(YATNAL),2,Graduate,5603503,1200000,41,-12.81
Bijnor,SC,Uttar Pradesh ,Rashtriya Lok Dal,52.10%,M,BJP,5,Munshiram S/o Sri Ramcharan Singh,0,Others,2942225,720000,53,3.85
Bikaner,GEN,Rajasthan,BJP,56.60%,M,INC,2.12,DHARMENDRA,0,12th Pass,230326000,5428225,68,81.37
Bikramganj,GEN,Bihar ,Janata Dal (United),56.50%,M,Rashtriya Janata Dal,-6.57,AJIT KUMAR SINGH,0,Post Graduate,14362110,0,45,-16.27
Bilaspur,SC,Chhattisgarh,BJP,44.00%,M,BJP,18.79,PUNNULAL MOHLE,0,12th Pass,3727718,0,52,43.14
Bilhaur,GEN,Uttar Pradesh ,Bahujan Samaj Party,46.80%,M,BJP,5,RAJA RAM PAL,0,Graduate Professional,1471113,2.00E+05,43,3.85
Bilhaur,GEN,Uttar Pradesh ,BSP,47.50%,M,BJP,5,Anil Shukla Warsi,0,Others,,,,3.85
Birbhum,SC,West Bengal,Communist Party Of India (MARXIST),70.10%,M,Communist Party Of India (MARXIST),2.66,Ram Chandra Dome,0,Doctorate,409541,2862,46,3.56
Bobbili,GEN,Andhra Pradesh,Telugu Desam,76.40%,M,INC,6.29,KONDAPALLI PYDITHALLI NAIDU,0,Others,1979000,50000,73,15.14
Bobbili,GEN,Andhra Pradesh,INC,69.30%,M,INC,6.29,Jhansi Lakshmi Botcha,,Others,,,,15.14
Bolangir,GEN,Orissa,BJP,66.20%,F,BJP,21.93,SANGEETA KUMARI SINGH DEO,0,Graduate,26899686,383762,42,22.81
Bolpur,GEN,West Bengal,Communist Party Of India (MARXIST),74.20%,M,Communist Party Of India (MARXIST),2.66,Chatterjee Somnath,0,Post Graduate,10551015,0,74,3.56
Broach,GEN,Gujarat,BJP,54.90%,M,BJP,12.5,VASAVA MANSUKHBHAI DHANJIBHAI,0,Post Graduate,1583619,0,47,39.89
Budaun,GEN,Uttar Pradesh ,Samajwadi Party,49.20%,M,Samajwadi Party,5,SALEEM IQBAL SHERVANI,0,Graduate,96980000,5940,51,3.85
Bulandshahr,GEN,Uttar Pradesh ,BJP,55.90%,M,BJP,5,KALYAN SINGH,0,Graduate Professional,6209253,0,72,3.85
Buldhana,SC,Maharashtra,Shiv Sena,63.50%,M,Shiv Sena,10.7,ADSUL ANANDRAO VITHOBA,2,Graduate,20630019,6111246,56,10.43
Bulsar,ST,Gujarat,INC,52.30%,M,BJP,12.5,KISHANBHAI VESTABHAI PATEL,2,10th Pass,279461,0,39,39.89
Burdwan,GEN,West Bengal,Communist Party Of India (MARXIST),81.40%,M,Communist Party Of India (MARXIST),2.66,Nikhilananda Sar,0,Graduate Professional,3431414,0,66,3.56
Buxar,GEN,Bihar ,BJP,53.10%,M,BJP,-6.57,LALMUNI CHAUBEY,0,12th Pass,8431336,0,66,-16.27
Calcutta North East,GEN,West Bengal,Communist Party Of India (MARXIST),70.60%,M,All India Trinamool Congress,2.66,Md. Salim,0,Post Graduate,3109485,0,46,3.56
Calcutta North West,GEN,West Bengal,Communist Party Of India (MARXIST),59.00%,M,All India Trinamool Congress,2.66,,,Others,,,,3.56
Calcutta South,GEN,West Bengal,All India Trinamool Congress,70.30%,F,All India Trinamool Congress,2.66,Mamata Banerjee,0,Post Graduate,375489,0,48,3.56
Calicut,GEN,Kerala,Janata Dal (Secular),70.20%,M,INC,5.57,M. P. VEERENDRA KUMAR,0,Post Graduate,47621096,4654480,66,-1.39
Cannanore,GEN,Kerala,Communist Party Of India (MARXIST),78.80%,M,Communist Party Of India (MARXIST),5.57,,,Others,,,46,-1.39
Chail,SC,Uttar Pradesh ,Samajwadi Party,37.40%,M,Bahujan Samaj Party,5,M. SHIVANNA,0,12th Pass,9337424,1092000,56,3.85
Chamarajanagar,SC,Karnataka,Janata Dal (Secular),71.70%,M,Janata Dal (United),3.22,KAILASH NATH SINGH YADAV,1,Graduate,942100,10000,40,-12.81
Chandauli,GEN,Uttar Pradesh ,Bahujan Samaj Party,44.60%,M,Samajwadi Party,5,PAWAN KUMAR BANSAL,0,Graduate,5843089,0,55,3.85
Chandigarh,GEN,Chandigarh,INC,51.10%,M,INC,3.6,KAPIL SIBAL,0,Graduate Professional,17550052,0,55,-2.45
Chandni Chowk,GEN,Delhi ,INC,53.00%,M,BJP,-7.86,AHIR HANSRAJ GANGARAM,0,Post Graduate,158850000,0,49,1.01
Chandrapur,GEN,Maharashtra,BJP,63.20%,M,INC,10.7,LALU PRASAD,16,10th Pass,2653960,0,55,10.43
Chapra,GEN,Bihar ,Rashtriya Janata Dal,38.30%,M,BJP,-6.57,DHIRENDRA AGARWAL,7,Graduate Professional,8768342,22041400,45,-16.27
Chatra,GEN,Jharkhand,Rashtriya Janata Dal,44.50%,M,Rashtriya Janata Dal,8.97,"MOORTHY, A.K.",1,Doctorate,28085948,750000,40,3.16
Chengalpattu,GEN,Tamil Nadu,Pattali Makkal Katchi,64.90%,M,Pattali Makkal Katchi,8.84,KAMALNATH,0,Post Graduate,3696741,369957,57,-2.42
Chhindwara,GEN,Madhya Pradesh ,INC,65.70%,M,INC,-2.8,NARANBHAI RATHWA,0,Graduate,51839379,0,51,36.75
Chhota Udaipur,ST,Gujarat,INC,52.20%,M,BJP,12.5,"PONNUSWAMY, E.",0,Post Graduate,2793000,271125,67,39.89
Chidambaram,SC,Tamil Nadu,Pattali Makkal Katchi,65.90%,M,Pattali Makkal Katchi,8.84,R.L. JALAPPA,0,Post Graduate,420000,318534,77,-2.42
Chikballapur,GEN,Karnataka,INC,70.70%,M,INC,3.22,JIGAJINAGI RAMESH CHANDAPPA,0,Graduate,40239308,105000,52,-12.81
Chikkodi,SC,Karnataka,BJP,70.60%,M,Janata Dal (United),3.22,D. C. SRIKANTAPPA,0,Graduate,5480600,75000,76,-12.81
Chikmagalur,GEN,Karnataka,BJP,72.90%,M,BJP,3.22,SHIVANKAR MAHADEORAO SUKAJI,0,10th Pass,6069785,0,64,-12.81
Chimur,GEN,Maharashtra,BJP,69.60%,M,BJP,10.7,VARKALA RADHAKRISHNAN,0,Post Graduate,4412847,197913,76,10.43
Chirayinkil,GEN,Kerala,Communist Party Of India (MARXIST),65.50%,M,Communist Party Of India (MARXIST),5.57,N.Y. HANUMANTHAPPA,0,Graduate Professional,756621,0,64,-1.39
Chitradurga,GEN,Karnataka,INC,69.70%,M,Janata Dal (United),3.22,D.K. AUDIKESAVULU,0,Post Graduate,6250000,0,63,-12.81
Chittoor,GEN,Andhra Pradesh,Telugu Desam,74.70%,M,Telugu Desam,6.29,SHRICHAND KRIPLANI,0,Others,670576468,0,46,15.14
Chittorgarh,GEN,Rajasthan,BJP,48.40%,M,BJP,2.12,RAMSINGH KASWAN,0,Others,2448887,0,,81.37
Churu,GEN,Rajasthan,BJP,60.70%,M,BJP,2.12,PATEL DAHYABHAI VALLABHBHAI,0,Graduate Professional,13198438,208154,58,81.37
Coimbatore,GEN,Tamil Nadu,Communist Party Of India,55.40%,M,BJP,8.84,,,Others,,,,-2.42
Contai,GEN,West Bengal,Communist Party Of India (MARXIST),85.30%,M,All India Trinamool Congress,2.66,Prasanta Pradhan,0,Post Graduate,1410752,15000,63,3.56
Cooch Behar,SC,West Bengal,All India Forward Bloc,82.50%,M,All India Forward Bloc,2.66,Hiten Barman,0,12th Pass,546676,279146,54,3.56
Cuddalore,GEN,Tamil Nadu,Dravida Munetra Kazhagam,62.80%,M,Dravida Munetra Kazhagam,8.84,VENKATAPATHY. K,5,Graduate Professional,3617839,0,57,-2.42
Cuddapah,GEN,Andhra Pradesh,INC,71.20%,M,INC,6.29,Y.S. VIVEKANANDA REDDY,0,Graduate,36227380,0,51,15.14
Cuttack,GEN,Orissa,Biju Janata Dal,66.30%,M,Biju Janata Dal,21.93,BHARTRUHARI MAHTAB,0,Post Graduate,17843407,169357,47,22.81
Dadra & Nagar Haveli,ST,Dadra & Nagar Haveli,Bharatiya Navshakti Party,69.00%,M,Independent,0,DELKAR MOHANBHAI SANJIBHAI,0,12th Pass,28619160,1296271,41,0
Dahanu,ST,Maharashtra,INC,42.60%,M,BJP,10.7,SHINGADA DAMODAR BARKU,0,10th Pass,8657109,0,50,10.43
Dahod,ST,Gujarat,BJP,42.70%,M,BJP,12.5,,,Others,,,,39.89
Daman And Diu,GEN,Daman & Diu,INC,70.20%,M,INC,0,PATEL DAHYABHAI VALLABHBHAI,1,12th Pass,54787351,6640008,58,0
Damoh,GEN,Madhya Pradesh ,BJP,42.30%,M,BJP,-2.8,CHANDRABHAN BHAIYA,0,8th Pass,10348557,325874,47,36.75
Darbhanga,GEN,Bihar ,Rashtriya Janata Dal,63.60%,M,BJP,-6.57,MD. ALI ASHRAF FATMI,0,Post Graduate,2071240,545183,48,-16.27
Darjeeling,GEN,West Bengal,INC,71.00%,M,Communist Party Of India (MARXIST),2.66,Dawa Narbula,0,Post Graduate,7065000,2.00E+05,67,3.56
Dausa,GEN,Rajasthan,INC,48.90%,M,INC,2.12,SACHIN PILOT,0,Post Graduate,2555000,0,26,81.37
Davangere,GEN,Karnataka,BJP,68.20%,M,BJP,3.22,G.M. SIDDESWARA,0,10th Pass,50282989,0,52,-12.81
Delhi Sadar,GEN,Delhi ,INC,57.60%,M,BJP,-7.86,,,Others,,,,1.01
Deogarh,GEN,Orissa,BJP,67.50%,M,BJP,21.93,DHARMENDRA PRADHAN,0,Post Graduate,476756,306250,35,22.81
Deoria,GEN,Uttar Pradesh ,Samajwadi Party,46.50%,M,BJP,5,MOHAN SINGH,0,Others,8468000,150000,58,3.85
Dhanbad,GEN,Jharkhand,INC,53.80%,M,BJP,8.97,CHANDRA SHEKHAR DUBEY,0,10th Pass,10250582,323838,62,3.16
Dhandhuka,SC,Gujarat,BJP,44.70%,M,BJP,12.5,VARMA RATILAL KALIDAS,0,Post Graduate,7900277,3881919,55,39.89
Dhar,ST,Madhya Pradesh ,BJP,53.00%,M,INC,-2.8,CHHATAR SINGH DARBAR,1,Post Graduate,2885302,271133,50,36.75
Dharmapuri,GEN,Tamil Nadu,Pattali Makkal Katchi,54.60%,M,Pattali Makkal Katchi,8.84,,,Others,,,,-2.42
Dharwad North,GEN,Karnataka,BJP,64.80%,M,BJP,3.22,PRALHAD JOSHI,4,Graduate,7760188,32587745,42,-12.81
Dharwad South,GEN,Karnataka,BJP,71.80%,M,INC,3.22,KUNNUR MANJUNATH CHANNAPPA,0,Post Graduate,12862400,730000,49,-12.81
Dhenkanal,GEN,Orissa,Biju Janata Dal,67.30%,M,INC,21.93,TATHAGATA SATAPATHY,5,Others,2775930,0,48,22.81
Dhubri,GEN,Assam,INC,75.10%,M,INC,9.51,ANWAR HUSSAIN,0,Graduate Professional,558467,225000,58,1.51
Dhule,ST,Maharashtra,INC,37.10%,M,BJP,10.7,CHAURE BAPU HARI,1,Graduate,3039824,0,55,10.43
Diamond Harbour,GEN,West Bengal,Communist Party Of India (MARXIST),75.80%,M,Communist Party Of India (MARXIST),2.66,Samik Lahiri,0,Graduate,232000,0,37,3.56
Dibrugarh,GEN,Assam,Asom Gana Parisad,65.10%,M,INC,9.51,SARBANANDA SONOWAL,0,Graduate Professional,2038397,758854,42,1.51
Dindigul,GEN,Tamil Nadu,INC,60.60%,M,All India Anna Dravida Munnetra Kazhagam,8.84,"CHITTHAN, N. S. V.",0,Graduate,13247227,875536,70,-2.42
Domariaganj,GEN,Uttar Pradesh ,Bahujan Samaj Party,47.60%,M,BJP,5,MOHD. MUQUEEM,2,10th Pass,4902000,0,53,3.85
