"","Constituency","Type","State","Party","Turnout","Gender","PrevParty","GSDP","Candidate","Criminal.Case","Education","Total.Assets","Liabilities","CandidateAge","GrowthRateAgri","Year","PredictedValue"
"69","Baramulla","GEN","Jammu & Kashmir","Others",39.1,"M","Others",1.18,"Muzaffar Hussain Baig",0,"Post Graduate",200707183,11401285,67,4.97,"2014","Others"
"70","Barasat","GEN","West Bengal","Others",83.9,"F","Others",8.74,"Dr. Kakali Ghoshdostidar",0,"Graduate Professional",31254311,1168220,55,5.38,"2014","Others"
"71","Bardhaman Purba","SC","West Bengal","Others",86.2,"M","Others",8.74,"Sunil Kumar Mondal",0,"Graduate Professional",11841000,1420000,55,5.38,"2014","Others"
"72","Bardoli","ST","Gujarat","BJP",74.7,"M","INC",7.12,"Vasava Parbhubhai Nagarbhai",1,"Others",15909957,1353400,44,-6.96,"2014","Others"
"73","Bareilly","GEN","Uttar Pradesh","BJP",61.2,"M","INC",0.36,"Santosh Kumar Gangwar",0,"Graduate Professional",38602862,1777215,64,2.59,"2014","INC"
"74","Bargarh","GEN","Orissa","Others",78.5,"M","INC",5.74,"Prabhas Kumar Singh",0,"Doctorate",5786971,670000,50,-3.25,"2014","INC"
"75","Barmer","GEN","Rajasthan","BJP",72.7,"M","INC",3.55,"Col. Sona Ram",1,"Graduate Professional",174678454,5584331,73,0.22,"2014","INC"
"76","Barpeta","GEN","Assam","Others",84.3,"M","INC",4.28,"Siraj Uddin Ajmal",0,"Graduate",670806607,0,67,4.59,"2014","INC"
"77","Barrackpore","GEN","West Bengal","Others",81.7,"M","Others",8.74,"Dinesh Trivedi",0,"Post Graduate",53582340,15661349,63,5.38,"2014","Others"
"78","Basirhat","GEN","West Bengal","Others",85.5,"M","Others",8.74,"Idris Ali",9,"Graduate Professional",9800277,0,64,5.38,"2014","Others"
"79","Bastar","ST","Chhattisgarh","BJP",59.3,"M","BJP",6.42,"Dinesh Kashyap",1,"Post Graduate",16108199,2191216,51,2.28,"2014","INC"
"80","Basti","GEN","Uttar Pradesh","BJP",56.8,"M","Others",0.36,"Harish Chandra Alias Harish Dwivedi",2,"Post Graduate",5350882,860185,40,2.59,"2014","Others"
"81","Beed","GEN","Maharashtra","BJP",68.7,"M","BJP",8.78,"Munde Gopinathrao Pandurang",3,"Graduate Professional",380072890,335729817,66,3.99,"2014","INC"
"82","Begusarai","GEN","Bihar","BJP",60.6,"M","Others",11.53,"Bhola Singh",0,"Doctorate",25248102,0,75,-10.06,"2014","INC"
"83","Belgaum","GEN","Karnataka","BJP",68.2,"M","BJP",2.12,"Angadi Suresh Channabasappa",1,"Graduate Professional",417003065,366283849,58,1.25,"2014","INC"
"84","Bellary","ST","Karnataka","BJP",70.3,"M","BJP",2.12,"B. Sreeramulu",8,"Graduate",151392844,4050947,43,1.25,"2014","Others"
"85","Berhampur","GEN","Orissa","Others",67.9,"M","Others",5.74,"Sidhant Mohapatra",0,"Graduate",16462430,1183828,47,-3.25,"2014","Others"
"86","Betul","ST","Madhya Pradesh","BJP",65.2,"F","BJP",2.15,"Jyoti Dhurve",2,"Post Graduate",26232000,1e+06,47,23.28,"2014","INC"
"87","Bhadohi","GEN","Uttar Pradesh","BJP",53.5,"M","Others",0.36,"Virendra Singh",0,"Graduate",11531458,791186,57,2.59,"2014","Others"
"88","Bhadrak","SC","Orissa","Others",73.6,"M","Others",5.74,"Arjun Charan Sethi",0,"Post Graduate",6730000,2424000,73,-3.25,"2014","Others"
"89","Bhagalpur","GEN","Bihar","Others",57.8,"M","BJP",11.53,"Shailesh Kumar Urph Bulo Mandal",1,"12th Pass",20216734,0,38,-10.06,"2014","BJP"
"90","Bhandara - Gondiya","GEN","Maharashtra","BJP",72.3,"M","Others",8.78,"Nanabhau Falgunrao Patole",5,"Graduate",12738190,0,51,3.99,"2014","Others"
"91","Bharatpur","SC","Rajasthan","BJP",57.1,"M","INC",3.55,"Bahadur Singh",0,"Literate",19142363,1333100,56,0.22,"2014","Others"
"92","Bharuch","GEN","Gujarat","BJP",74.8,"M","BJP",7.12,"Vasava Mansukhbhai Dhanjibhai",0,"Post Graduate",6571062,639000,56,-6.96,"2014","INC"
"93","Bhatinda","GEN","Punjab","Others",77.2,"F","Others",2.55,"Harsimrat Kaur Badal",0,"10th Pass",1081664910,412634299,53.8985239852399,0.44,"2014","Others"
"94","Bhavnagar","GEN","Gujarat","BJP",57.5,"F","BJP",7.12,"Dr. Bharatiben Dhirubhai Shiyal",0,"Graduate Professional",7748925,3072058,50,-6.96,"2014","BJP"
"95","Bhilwara","GEN","Rajasthan","BJP",62.9,"M","INC",3.55,"Subhash Baheria",0,"Graduate",142870042,8665902,57,0.22,"2014","INC"
"96","Bhind","SC","Madhya Pradesh","BJP",45.6,"M","BJP",2.15,"Dr. Bhagirath Prasad",0,"Doctorate",21240286,3687610,66,23.28,"2014","BJP"
"97","Bhiwandi","GEN","Maharashtra","BJP",51.6,"M","INC",8.78,"Kapil Moreshwar Patil",0,"Graduate",363758831,10697367,53,3.99,"2014","INC"
"98","Bhiwani-Mahendragarh","GEN","Haryana","BJP",69.9,"M","INC",3.57,"Dharambir S/o Bhale Ram",0,"Graduate",50057200,4530000,59,3.18,"2014","INC"
"99","Bhongir","GEN","Telangana","Others",81.2,"M","INC",2.44,"Dr. Boora Narsaiah Goud",0,"Post Graduate",202983225,13574088,55,6.15,"2014","INC"
"100","Bhopal","GEN","Madhya Pradesh","BJP",57.8,"M","BJP",2.15,"Alok Sanjar",0,"Graduate Professional",14594066,3e+05,50,23.28,"2014","BJP"
"101","Bhubaneswar","GEN","Orissa","Others",58.4,"M","Others",5.74,"Prasanna Kumar Patasani",0,"Post Graduate",13557443,9590067,71,-3.25,"2014","Others"
"102","Bidar","GEN","Karnataka","BJP",59.9,"M","INC",2.12,"Bhagwanth Khuba",0,"Graduate Professional",56559290,16829000,46,1.25,"2014","INC"
"103","Bijapur","SC","Karnataka","BJP",59.6,"M","BJP",2.12,"Ramesh Jigajinagi",2,"Graduate",89429828,5305043,64,1.25,"2014","INC"
"104","Bijnor","GEN","Uttar Pradesh","BJP",67.9,"M","Others",0.36,"Kunwar Bhartendra",2,"Post Graduate",24840646,0,50,2.59,"2014","Others"
"105","Bikaner","SC","Rajasthan","BJP",58.4,"M","BJP",3.55,"Arjun Ram Meghwal",0,"Post Graduate",18142863,1216408,60,0.22,"2014","INC"
"106","Bilaspur","GEN","Chhattisgarh","BJP",63.1,"M","BJP",6.42,"Lakhan Lal Sahu",0,"Post Graduate",8661133,306357,43,2.28,"2014","INC"
"107","Birbhum","GEN","West Bengal","Others",85.3,"F","Others",8.74,"Satabdi Roy",0,"Graduate",54972174,5478944,45,5.38,"2014","Others"
"108","Bishnupur","SC","West Bengal","Others",86.7,"M","Others",8.74,"Khan Saumitra",1,"12th Pass",1197255,0,34,5.38,"2014","Others"
"109","Bolangir","GEN","Orissa","Others",74.9,"M","Others",5.74,"Kalikesh Narayan Singh Deo",2,"Graduate",87955818,24410449,39,-3.25,"2014","Others"
"110","Bolpur","SC","West Bengal","Others",84.8,"M","Others",8.74,"Anupam Hazra",0,"Doctorate",4866883,0,32,5.38,"2014","Others"
"111","Bulandshahr","SC","Uttar Pradesh","BJP",58.2,"M","Others",0.36,"Bhola Singh",0,"Graduate",12577537,0,38,2.59,"2014","Others"
"112","Buldhana","GEN","Maharashtra","Others",61.3,"M","Others",8.78,"Jadhav Prataprao Ganpatrao",2,"12th Pass",36033147,684092,53,3.99,"2014","Others"
"113","Burdwan - Durgapur","GEN","West Bengal","Others",84.1,"F","Others",8.74,"Dr. Mamtaz Sanghamita",0,"Post Graduate",107680000,0,68,5.38,"2014","Others"
"114","Buxar","GEN","Bihar","BJP",54.1,"M","Others",11.53,"Ashwini Kumar Choubey",0,"Graduate",22094499,1923552,61,-10.06,"2014","INC"
"115","Chalakudy","GEN","Kerala","Others",76.8,"M","INC",18.41,"Innocent",0,"8th Pass",54474761,1303000,66,4.39,"2014","INC"
"116","Chamarajanagar","SC","Karnataka","INC",72.8,"M","INC",2.12,"R. Dhruvanarayana",0,"Post Graduate",31519950,2605818,53,1.25,"2014","Others"
"117","Chandauli","GEN","Uttar Pradesh","BJP",58.8,"M","Others",0.36,"Dr Mahendra Nath Pandey",0,"Doctorate",26489505,1114000,57,2.59,"2014","Others"
"118","Chandigarh","GEN","Chandigarh","BJP",73.7,"F","INC",1.07,"Kher Kirron Anupam",0,"Post Graduate",335343871,1886187,61,-0.59,"2014","INC"
"119","Chandni Chowk","GEN","Delhi","BJP",67.8,"M","INC",1.36,"Dr. Harsh Vardhan",2,"Post Graduate",28229308,1780492,59,3.21,"2014","INC"
"120","Chandrapur","GEN","Maharashtra","BJP",63.3,"M","BJP",8.78,"Ahir Hansraj Gangaram",11,"10th Pass",15548000,99500,59,3.99,"2014","Others"
"121","Chatra","GEN","Jharkhand","BJP",54.3,"M","Others",11.62,"Sunil Kumar Singh",0,"Post Graduate",174744806,950052,52,8.3,"2014","Others"
"122","Chelvella","GEN","Telangana","Others",60.2,"M","INC",2.44,"Konda Vishweshwar Reddy",0,"Post Graduate",5286230210,74111133,54,6.15,"2014","INC"
"123","Chennai Central","GEN","Tamil Nadu","Others",61.4,"M","Others",3.11,"S.R. Vijayakumar",0,"Graduate Professional",13401510,350483,40,7.33,"2014","INC"
"124","Chennai North","GEN","Tamil Nadu","Others",64,"M","Others",3.11,"Venkatesh Babu .T.G",0,"Post Graduate",37038275,804032,53,7.33,"2014","Others"
"125","Chennai South","GEN","Tamil Nadu","Others",60.2,"M","Others",3.11,"Dr. J. Jayavardhan",0,"Graduate Professional",33959072,10981100,26,7.33,"2014","INC"
"126","Chhindwara","GEN","Madhya Pradesh","INC",79,"M","INC",2.15,"Kamal Nath",0,"Graduate",2069080434,51172087,67,23.28,"2014","INC"
"127","Chhota Udaipur","ST","Gujarat","BJP",71.6,"M","BJP",7.12,"Ramsinh Rathwa",0,"Post Graduate",39769675,9763903,62,-6.96,"2014","BJP"
"128","Chidambaram","SC","Tamil Nadu","Others",79.7,"M","Others",3.11,"Chandrakasi, M",0,"Graduate",7243646,2020472,45,7.33,"2014","Others"
"129","Chikballapur","GEN","Karnataka","INC",76.2,"M","INC",2.12,"M Veerappa Moily",0,"Graduate Professional",137366682,39433827,74,1.25,"2014","INC"
"130","Chikkodi","GEN","Karnataka","INC",74.3,"M","BJP",2.12,"Prakash Babanna Hukkeri",0,"12th Pass",75717628,3635650,67,1.25,"2014","INC"
"131","Chitradurga","SC","Karnataka","INC",66,"M","BJP",2.12,"B.N.Chandrappa",0,"Post Graduate",48303759,13800000,58,1.25,"2014","INC"
"132","Chittoor","SC","Andhra Pradesh","Others",82.6,"M","Others",2.44,"Naramalli Sivaprasad",0,"Graduate Professional",14878003,0,62,6.15,"2014","Others"
"133","Chittorgarh","GEN","Rajasthan","BJP",64.5,"M","INC",3.55,"Chandra Prakash Joshi",0,"Graduate",14134693,687284,38,0.22,"2014","Others"
"134","Churu","GEN","Rajasthan","BJP",64.5,"M","BJP",3.55,"Rahul Kaswan",0,"Graduate",25721266,5386104,37,0.22,"2014","Others"
"135","Coimbatore","GEN","Tamil Nadu","Others",68.4,"M","Others",3.11,"Nagarajan, P.",0,"Graduate Professional",34306545,2235538,52,7.33,"2014","Others"
"136","Cooch Behar","SC","West Bengal","Others",82.6,"F","Others",8.74,"Renuka Sinha",0,"Graduate Professional",13017282,0,65,5.38,"2014","Others"
"137","Cuddalore","GEN","Tamil Nadu","Others",78.9,"M","INC",3.11,"Arunmozhithevan.A",9,"Graduate Professional",15765250,0,45,7.33,"2014","Others"
"138","Cuttack","GEN","Orissa","Others",71.4,"M","Others",5.74,"Bhartruhari Mahatab",0,"Post Graduate",88834098,0,56,-3.25,"2014","Others"
"139","Dadra And Nagar Haveli","GEN","Dadra & Nagar Haveli","BJP",84.1,"M","BJP",5.32212962962963,"Patel Natubhai Gomanbhai",5,"5th Pass",154760217,62286836,41,3.23461111111111,"2014","Others"
"140","Dahod","ST","Gujarat","BJP",63.8,"M","INC",7.12,"Jasvantsinh Sumanbhai Bhabhor",0,"Graduate Professional",19661231,1741547,47,-6.96,"2014","BJP"
"141","Dakshina Kannada","GEN","Karnataka","BJP",77.1,"M","BJP",2.12,"Nalin Kumar Kateel",1,"10th Pass",8789001,1493367,48,1.25,"2014","INC"
"142","Daman And Diu","GEN","Daman & Diu","BJP",78,"M","BJP",5.32212962962963,"Patel Lalubhai Babubhai",0,"8th Pass",144931238,1234039,58,3.23461111111111,"2014","INC"
"143","Damoh","GEN","Madhya Pradesh","BJP",55.2,"M","BJP",2.15,"Prahalad Singh Patel",0,"Graduate Professional",39586235,12429302,54,23.28,"2014","BJP"
"144","Darbhanga","GEN","Bihar","BJP",55.4,"M","BJP",11.53,"Kirti Azad",4,"Graduate",28531267,431860,55,-10.06,"2014","BJP"
"145","Darjeeling","GEN","West Bengal","BJP",79.5,"M","BJP",8.74,"S.S.Ahluwalia",0,"Graduate Professional",23377223,443035,63,5.38,"2014","INC"
"146","Dausa","ST","Rajasthan","BJP",61.1,"M","Others",3.55,"Harish Chandra Meena",0,"Graduate",60394789,45000,59,0.22,"2014","Others"
"147","Davanagere","GEN","Karnataka","BJP",73.2,"M","BJP",2.12,"G M Siddeshwara",0,"10th Pass",232375703,17951455,61,1.25,"2014","INC"
"148","Deoria","GEN","Uttar Pradesh","BJP",53.8,"M","Others",0.36,"Kalraj Mishra",0,"Post Graduate",55048193,0,73,2.59,"2014","Others"
"149","Dewas","SC","Madhya Pradesh","BJP",70.7,"M","INC",2.15,"Manohar Untwal",0,"12th Pass",6336490,1448086,47,23.28,"2014","INC"
"150","Dhanbad","GEN","Jharkhand","BJP",60.5,"M","BJP",11.62,"Pashupati Nath Singh",1,"Graduate",24248150,0,65,8.3,"2014","INC"
"151","Dhar","ST","Madhya Pradesh","BJP",64.5,"F","INC",2.15,"Savitri Thakur",0,"10th Pass",9606464,1582845,35,23.28,"2014","INC"
"152","Dharmapuri","GEN","Tamil Nadu","Others",81.1,"M","Others",3.11,"Anbumani Ramadoss",8,"Graduate Professional",314378451,41941065,45,7.33,"2014","Others"
"153","Dharwad","GEN","Karnataka","BJP",65.9,"M","BJP",2.12,"Pralhad Joshi",1,"Graduate",41979658,6739989,51,1.25,"2014","INC"
"154","Dhaurahra","GEN","Uttar Pradesh","BJP",68.1,"F","INC",0.36,"Rekha",0,"12th Pass",10435468,2375000,39,2.59,"2014","INC"
"155","Dhenkanal","GEN","Orissa","Others",76.4,"M","Others",5.74,"Tathagata Satpathy",7,"Others",35434099,0,57,-3.25,"2014","Others"
"156","Dhubri","GEN","Assam","Others",88.2,"M","Others",4.28,"Badruddin Ajmal",1,"Post Graduate",432748134,0,59,4.59,"2014","Others"
"157","Dhule","GEN","Maharashtra","BJP",58.7,"M","BJP",8.78,"Dr. Bhamre Subhash Ramrao",0,"Post Graduate",125833320,660757,61,3.99,"2014","INC"
"158","Diamond Harbour","GEN","West Bengal","Others",81.1,"M","Others",8.74,"Abhishek Banerjee",0,"Post Graduate",15199272,0,26,5.38,"2014","Others"
"159","Dibrugarh","GEN","Assam","BJP",79.3,"M","INC",4.28,"Rameswar Teli",0,"10th Pass",977943,0,43,4.59,"2014","INC"
"160","Dindigul","GEN","Tamil Nadu","Others",77.4,"M","INC",3.11,"Udhaya Kumar .M",0,"Post Graduate",27810000,2800000,45,7.33,"2014","INC"
"161","Dindori","ST","Maharashtra","BJP",63.4,"M","BJP",8.78,"Chavan Harishchandra Deoram",1,"Graduate",37240147,881137,62,3.99,"2014","INC"
"162","Domariyaganj","GEN","Uttar Pradesh","BJP",53.1,"M","INC",0.36,"Jagdambika Pal",0,"Post Graduate",17822082,4981555,64,2.59,"2014","INC"
"163","Dum Dum","GEN","West Bengal","Others",80.6,"M","Others",8.74,"Saugata Roy",0,"Post Graduate",19452010,2500000,66,5.38,"2014","Others"
"164","Dumka","ST","Jharkhand","Others",72.4,"M","Others",11.62,"Shibu Soren",0,"10th Pass",46760684,1479721,68,8.3,"2014","Others"
"165","Durg","GEN","Chhattisgarh","INC",67.8,"M","BJP",6.42,"Tamradhwaj Sahu",0,"12th Pass",21002226,1777720,65,2.28,"2014","INC"
"166","East Delhi","GEN","Delhi","BJP",65.4,"M","INC",1.36,"Maheish Girri",1,"10th Pass",5216375,4e+05,39,3.21,"2014","INC"
